username,is_voter,email,program,level,has_voted
fms-0011,false,rspurden0@addthis.com,Compactor,2011,true
fms-0034,true,abattershall1@taobao.com,Grader,1986,true
fms-052-1768,false,kclaiton2@symantec.com,Crawler,2010,true
fms-855-9927,true,jmutimer3@auda.org.au,Excavator,1989,false
fms-316-8698,false,jgriggs4@cpanel.net,Grader,2013,false
fms-386-6639,false,cpendell5@mac.com,Trencher,2013,false
fms-525-0371,true,rmarkham6@simplemachines.org,Excavator,1992,true
fms-949-4835,true,nvanderveldt7@businessinsider.com,Compactor,2009,true
fms-710-2049,true,mrumgay8@businessinsider.com,Scraper,2003,false
fms-263-3322,true,sleeke9@discuz.net,Crawler,2001,true
fms-003-4322,false,hcapponera@amazon.de,Crawler,1990,true
fms-808-7509,true,tbarracloughb@prnewswire.com,Dragline,2005,true
fms-813-5003,true,berlamc@barnesandnoble.com,Scraper,2002,false
fms-551-7616,true,bayersd@cnn.com,Compactor,2000,true
fms-109-2206,false,fyegorkine@amazonaws.com,Trencher,2005,true
fms-584-1891,true,vbrixeyf@youku.com,Compactor,1999,false
fms-515-0338,false,icradyg@time.com,Excavator,2010,true
fms-698-7160,true,zdalbyh@topsy.com,Backhoe,2010,false
fms-323-2233,true,odibeni@istockphoto.com,Skid-Steer,2010,true
fms-614-9825,false,uthomblesonj@fotki.com,Skid-Steer,2003,false
fms-437-1216,false,zharcek@linkedin.com,Excavator,2001,false
fms-694-7242,false,elamartinel@salon.com,Grader,2006,true
fms-136-8525,true,kannandalem@harvard.edu,Dump Truck,2001,false
fms-363-0685,true,ajorgen@china.com.cn,Backhoe,2012,true
fms-835-1931,false,cwilfingero@latimes.com,Backhoe,1988,false
fms-289-6322,false,cscynerp@nyu.edu,Trencher,1988,false
fms-943-2690,true,srabbattsq@deliciousdays.com,Dump Truck,2006,true
fms-731-2536,false,fledsonr@php.net,Scraper,2010,true
